,url,target
1,https://www.gala.fr/l_actu/news_de_stars/charlotte_gainsbourg_et_yvan_attal_in_love_et_assortis_a_los_angeles_367573,"[184, 358]"
3,https://www.regal.fr/recettes/accompagnements/panisses-10436,[122]
4,https://mobile-dictionary.reverso.net/francais-definition/[vigoure,"[692, 1265, 108, 1494, 474]"
5,https://fr.shopping.rakuten.com/offer/buy/4045108755/zero-gravity-rebirth-and-evolution.html,[531]
7,http://pique.assiette.over-blog.com/article-gateau-leger-au-fromage-blanc-et-confiture-d-orange-amere-75886106.html,"[907, 122]"
9,https://www.marmiton.org/recettes/recette_terrine-de-poisson-rapide_227812.aspx,"[907, 122]"
10,"https://www.automobile.fr/Voiture/Audi-A4-1.8-TFSI-Ambition/vhc:car,cnt:de,loc:cologne%252C%252C+allemagne,rng:300,ms1:1900_9_,frn:2010,prx:8000,ful:petrol!diesel,mlx:200000,dmg:false,vcg:limousine/pg:vipcar/289538496.html","[1686, 1687]"
12,https://euw.op.gg/summoner/userName=the+sommelier,"[381, 1343]"
16,https://www.societe.com/societe/lisega-314867144.html,[377]
18,https://www.ouest-france.fr/pays-de-la-loire/cholet-49300/jeremy-thomas-de-metallier-designer-1382536,[184]
19,"https://www.automobile.fr/voiture/bmw-m3/vhc:car,srt:price,sro:asc,ms1:3500_45_,frn:2007,frx:2010,mlx:125000,dmg:false,vcg:","[1686, 1687]"
21,https://www.programme-tv.net/news/tv/245559-jean-luc-lemoine-enora-malagre-gerard-louvin-ils-ont-decide-de-quitter-tpmp-que-deviennent-ils-aujourdhui-photos,[184]
24,https://www.dailymotion.com/video/x7lyksi,[211]
26,https://www.marmiton.org/recettes/recette_cake-jambon-fromage-de-ma-grand-mere_254382.aspx,"[907, 122]"
27,https://tvmag.lefigaro.fr/programme-tv/programme/enquete-exclusive-f156912926,[358]
30,https://mots-croises.tazzaz.com/definition/chaussure-de-bal.html,[1494]
31,https://www.marmiton.org/recettes/recette-avis_feuilletes-au-chevre-et-au-miel_23740.aspx,"[907, 122]"
33,https://www.listesdemots.net/c/a/5/motscontenantabisttaille.htm,[1494]
34,https://www.meteo60.fr/previsions-meteo-agricole-louvatange.html,"[63, 1254, 1119]"
36,https://chefsimon.com/gourmets/les-mets-tisses/recettes/galette-des-rois-vegetale,[907]
37,https://m.mobile.de/auto-inserat/mercedes-benz-a-klasse-a-180-blueefficiency-bielefeld/291575108.html,[1686]
41,https://context.reverso.net/traduction/francais-anglais/soyez+tranquille,"[692, 1265, 1494, 474]"
44,https://gourmand.viepratique.fr/recettes-par-produit/viandes/terrine-de-boeuf-filet-de-porc-aux-noisettes-au-cognac-31682.html,[122]
45,https://fr.shopping.rakuten.com/s/breaking+in,[531]
51,https://context.reverso.net/traduction/anglais-francais/untainted,"[692, 1265, 1494, 474]"
53,https://context.reverso.net/traduction/espagnol-francais/estar%C3%A1n+esperando,"[692, 1265]"
54,https://www.750g.com/brownien-cheesecake-r54706.htm,"[907, 122]"
55,https://www.telestar.fr/programme-tv/fiche/772975/le-point-q,"[184, 358]"
56,http://www.jeuxvideo.com/screenshots/41297-2614510-0,[1343]
58,https://www.societe.com/societe/pergam-438328973.html,"[572, 377]"
63,https://www.ruhr24.de/s04/fc-schalke-04-scheiterte-last-minute-transfer-s04-deadline-day-13516470.html,[572]
64,https://agenda-loto.net/29-Finistere/Pont-l-Abbe-29/super-loto_1312015646,[572]
67,https://fr.shopping.rakuten.com/s/cilette+ofaire,[531]
69,https://dictionnaire.reverso.net/espagnol-francais/busqueda,"[692, 1265, 108, 1494, 474]"
70,https://www.marmiton.org/recettes/recette_burger-feuillete_347367.aspx,"[907, 122]"
75,https://www.cdiscount.com/search/10/vise+pour+reglage+de+table.html,[531]
77,https://www.meteo60.fr/previsions-meteo-agricole-aulhat-saint-privat.html,"[63, 1254, 1119]"
78,https://www.sudouest.fr/2020/01/24/petits-et-grands-rois-7102502-3676.php,[572]
